datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,STOCHk_14_3_3,STOCHd_14_3_3,support,resistance,dist_to_support,dist_to_resistance
2025-05-16 21:00:00+00:00,2025-05-16T21:00:00.000Z,3189.35,3191.04,3186.0,3189.83,48.83636176481544,-8.363274651892425,4.685578413176396,-13.04885306506882,3158.4383312680534,3184.4975,3210.5566687319465,1.6366267351094832,0.6023152360470874,10.589728389421122,82.48261172240313,70.29623962458247,3154.27,3212.68,35.559999999999945,22.84999999999991
2025-05-16 21:30:00+00:00,2025-05-16T21:30:00.000Z,3189.67,3190.48,3184.68,3187.36,46.756827155437705,-7.566848854224645,4.385603368675341,-11.952452222899986,3159.5682577523526,3183.5004999999996,3207.4327422476467,1.5035174172359693,0.5806338988228303,10.217658485732596,91.54548041172298,81.83875527739406,3154.27,3212.68,33.090000000000146,25.31999999999971
2025-05-16 22:00:00+00:00,2025-05-16T22:00:00.000Z,3187.53,3201.7,3187.37,3193.43,52.149295539426184,-6.372420108425558,4.4640256915795415,-10.8364458000051,3161.528126665546,3182.6594999999998,3203.7908733344534,1.3279066349669928,0.7548461907688536,10.535895558179517,86.22170760995266,86.74993324802625,3154.27,3212.68,39.159999999999854,19.25
2025-05-16 22:30:00+00:00,2025-05-16T22:30:00.000Z,3193.32,3195.69,3190.94,3192.66,51.437605091390346,-5.425418440253452,4.32882188780132,-9.754240328054772,3163.8396356374037,3181.837,3199.8343643625963,1.1312562122193106,0.8006829161744702,10.091797469493809,79.66488355379681,85.81069052515748,3154.27,3211.14,38.38999999999987,18.480000000000018
2025-05-16 23:00:00+00:00,2025-05-16T23:00:00.000Z,3192.52,3202.75,3192.13,3195.12,53.615536959205215,-4.425398119716647,4.263073766670502,-8.688471886387148,3164.7525819166785,3181.515,3198.277418083321,1.0537381142833735,0.9058185380048789,10.13212499429083,76.87193940549547,80.91951018974832,3154.27,3204.18,40.84999999999991,9.059999999999945
2025-05-16 23:30:00+00:00,2025-05-16T23:30:00.000Z,3195.02,3210.2,3194.82,3209.7,63.93832830033823,-2.4283976051115133,5.008059425020509,-7.436457030132022,3162.7223889460765,3183.2305,3203.7386110539237,1.288509333767918,1.1453422241180908,10.530831267577634,84.23119318746804,80.25600538225343,3154.27,3210.2,55.429999999999836,0.5
2025-05-17 00:00:00+00:00,2025-05-17T00:00:00.000Z,3209.6,3210.3,3206.0,3209.9,64.05649692255585,-0.8201675995933329,5.293031544430951,-6.113199144024284,3162.2427000893767,3185.123,3208.0032999106234,1.436698043411404,1.041448322285673,10.059587469025486,92.38703121315497,84.49672126870617,3154.27,3210.3,55.63000000000011,0.40000000000009095
2025-05-17 00:30:00+00:00,2025-05-17T00:30:00.000Z,3209.9,3210.5,3207.0,3210.5,64.43303513849803,0.49705155116407695,5.288200556150689,-4.791149004986612,3164.4359397277676,3187.498,3210.5600602722325,1.4470321407092603,0.9986978554490903,9.565555638349213,99.32087345234085,91.97969928432128,3154.79,3210.5,55.710000000000036,0.0
2025-05-17 01:00:00+00:00,2025-05-17T01:00:00.000Z,3210.6,3211.5,3207.9,3209.4,63.127368041432995,1.4356471644223348,4.9814369355271575,-3.5457897711048227,3165.1950453903773,3189.264,3213.332954609623,1.509373611568235,0.9182981838344899,9.11800214400009,97.63729695427082,96.44840053992222,3166.07,3211.5,43.32999999999993,2.099999999999909
2025-05-17 01:30:00+00:00,2025-05-17T01:30:00.000Z,3209.3,3209.8,3207.9,3209.0,62.63036300580513,2.122744614530802,4.5348275085085,-2.412082893977698,3165.986491433742,3190.8514999999998,3215.7165085662577,1.558518694226791,0.8649405539443067,8.578425869996053,95.26524061786641,97.40780367482603,3166.07,3211.5,42.929999999999836,2.5
