datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATR_14,STOCHk_14_3_3,STOCHd_14_3_3,ma_9,ma_18,ma_50,rsi_divergence,macd_divergence,stoch_divergence,support,resistance,dist_to_support,dist_to_resistance,label
1972-05-15 00:00:00+00:00,1972-05-15T00:00:00.000Z,3.8651,3.8651,3.8651,3.8651,42.06392601612026,-0.0275906377481915,0.0090420909653242,-0.0366327287135158,3.82561502821244,3.864605,3.903594971787559,2.0177985479788623,0.5063477860755762,0.013759054459147,83.88564002599071,83.11331581210258,3.859911111111111,3.860433333333333,3.949794,1,1,1.0,3.8175,3.9208,0.0476,0.0556999999999998,-1
1972-05-22 00:00:00+00:00,1972-05-22T00:00:00.000Z,3.8562,3.8562,3.8562,3.8562,40.05947289503031,-0.0261769584140223,0.0083646162395948,-0.0345415746536171,3.83203152542737,3.861375,3.89071847457263,1.5198458876763032,0.4118202585860978,0.0134101695947117,81.04938271604897,82.3467619666448,3.8583777777777777,3.8592333333333335,3.945038,1,1,0.0,3.8175,3.8835,0.0386999999999999,0.0273000000000003,-1
1972-05-29 00:00:00+00:00,1972-05-29T00:00:00.000Z,3.8373,3.8373,3.8373,3.8373,36.12284367820883,-0.0262787542813942,0.0066102562977783,-0.0328890105791725,3.829778260680052,3.859065,3.888351739319948,1.517815290488647,0.1284154449181854,0.0138041980502956,65.49382716049355,76.80961663417774,3.858544444444445,3.85725,3.940014,0,1,0.0,3.8175,3.8778,0.0198,0.0405000000000002,-1
1972-06-05 00:00:00+00:00,1972-06-05T00:00:00.000Z,3.8329,3.8329,3.8329,3.8329,35.254270197621025,-0.026410033046071,0.0051831820264812,-0.0315932150725522,3.82674884438545,3.85682,3.886891155614551,1.5593756314554754,0.1022766749205639,0.0131294520405901,45.88888888888872,64.1440329218104,3.856411111111112,3.85493888888889,3.93481,0,1,0.0,3.8175,3.8745,0.0154,0.0415999999999998,-1
1972-06-12 00:00:00+00:00,1972-06-12T00:00:00.000Z,3.8088,3.8088,3.8088,3.8088,30.87518626432322,-0.0281344248640249,0.0027670321668218,-0.0309014570308468,3.8179465228841263,3.85361,3.889273477115873,1.8509126307993533,-0.1282337509380859,0.0139163303000817,21.99999999999997,44.46090534979408,3.8511888888888888,3.852205555555555,3.929098,0,1,0.0,3.8088,3.8745,0.0,0.0656999999999996,-1
1972-06-19 00:00:00+00:00,1972-06-19T00:00:00.000Z,3.7439,3.7439,3.7439,3.7439,22.698448756477877,-0.034342031845453,-0.0027524598516849,-0.031589571993768,3.7885881338988554,3.84708,3.9055718661011447,3.0408448018312644,-0.3820029764615396,0.0175721180911408,9.77777777777779,25.88888888888883,3.837177777777778,3.846361111111111,3.921998,0,0,0.0,3.7439,3.8715,0.0,0.1276000000000001,1
1972-06-26 00:00:00+00:00,1972-06-26T00:00:00.000Z,3.7425,3.7425,3.7425,3.7425,22.55965467738788,-0.0389258603141446,-0.0058690306563013,-0.0330568296578433,3.767471119565648,3.841305,3.915138880434352,3.844208175833584,-0.1691033941243953,0.0164128157219372,0.0,10.592592592592588,3.8236,3.839322222222222,3.914726,0,0,0.0,3.7425,3.8715,0.0,0.129,1
1972-07-03 00:00:00+00:00,1972-07-03T00:00:00.000Z,3.7559,3.7559,3.7559,3.7559,27.151197359530578,-0.0410046334982863,-0.0063582430723543,-0.0346463904259319,3.754114824306536,3.836645,3.919175175693464,4.302205478665054,0.0108152907616187,0.0161968966884372,3.503267973856173,4.427015250544654,3.811677777777777,3.8329,3.907976000000001,0,0,0.0,3.7425,3.8715,0.0133999999999998,0.1156000000000001,1
1972-07-10 00:00:00+00:00,1972-07-10T00:00:00.000Z,3.753,3.753,3.753,3.753,26.78111542210469,-0.0423973517081037,-0.0062007690257374,-0.0361965826823663,3.742158412898364,3.830835,3.919511587101635,4.629621850152006,0.0611299298720751,0.015244176914346,6.248366013071848,3.250544662309341,3.799511111111111,3.8293166666666663,3.901304,0,0,1.0,3.7425,3.8715,0.0104999999999999,0.1185,1
1972-07-17 00:00:00+00:00,1972-07-17T00:00:00.000Z,3.775,3.775,3.775,3.775,34.1175950032586,-0.0412503662404892,-0.0040430268464983,-0.0372073393939909,3.736214701682138,3.82601,3.915805298317862,4.69393955153604,0.2159650841660307,0.0157281231234798,14.745098039215575,8.165577342047866,3.7895,3.824705555555556,3.89508,0,0,1.0,3.7425,3.87,0.0324999999999997,0.0950000000000002,0
