datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATR_14,STOCHk_14_3_3,STOCHd_14_3_3,ma_9,ma_18,ma_50,rsi_divergence,macd_divergence,stoch_divergence,support,resistance,dist_to_support,dist_to_resistance,label
1972-05-15 00:00:00+00:00,1972-05-15T00:00:00.000Z,2.6132,2.6132,2.6132,2.6132,70.7839513462584,0.0255351752041819,-0.0049774388205423,0.0305126140247242,2.567455543028321,2.603365,2.6392744569716786,2.758695532257591,0.6369416419713188,0.0063270202705913,23.017551109427703,29.493578993906368,2.6107,2.6080611111111107,2.521606,0,0,0.0,2.5502,2.6409,0.0630000000000001,0.0276999999999998,-1
1972-05-22 00:00:00+00:00,1972-05-22T00:00:00.000Z,2.6126,2.6126,2.6126,2.6126,70.26848316838702,0.0241095961360651,-0.0051224143109273,0.0292320104469924,2.5799839603977333,2.606485,2.632986039602267,2.0334695655081005,0.6153728323827113,0.0059158146116462,21.220657276995556,24.37682301084413,2.611377777777778,2.609738888888889,2.525478,0,0,0.0,2.572,2.6409,0.0405999999999999,0.0282999999999997,-1
1972-05-29 00:00:00+00:00,1972-05-29T00:00:00.000Z,2.6117,2.6117,2.6117,2.6117,69.45147858004977,0.022646141354651,-0.0052686952738731,0.0279148366285241,2.587159429852748,2.60847,2.6297805701472514,1.6339517147792997,0.5757839883607437,0.0055558082837607,19.12326673217608,21.12049170619978,2.610866666666667,2.6108666666666664,2.529324,0,0,0.0,2.5824,2.6409,0.0293000000000001,0.0291999999999998,-1
1972-06-05 00:00:00+00:00,1972-06-05T00:00:00.000Z,2.6112,2.6112,2.6112,2.6112,68.97169323006617,0.0212015982483615,-0.00537059070413,0.0265721889524916,2.5922632552576705,2.60991,2.62755674474233,1.3522876070308656,0.53655065052609,0.0051930568351992,16.353586636095844,18.89917021508916,2.611133333333333,2.6114888888888887,2.533166,0,0,0.0,2.5914,2.6409,0.0198,0.0296999999999996,-1
1972-06-12 00:00:00+00:00,1972-06-12T00:00:00.000Z,2.5913,2.5913,2.5913,2.5913,53.21493760390888,0.0182407556636809,-0.0066651466310485,0.0249059022947295,2.5922372355686707,2.609905,2.627572764431329,1.353900960481644,-0.0265238868311152,0.0062479333903884,9.59302325581404,15.023292208028655,2.609211111111111,2.6107,2.53661,0,0,0.0,2.5913,2.6409,0.0,0.0495999999999998,-1
1972-06-19 00:00:00+00:00,1972-06-19T00:00:00.000Z,2.5,2.5,2.5,2.5,24.99819282974918,0.0084299444572937,-0.0131807662699486,0.0216107107272423,2.55383299299028,2.604905,2.6559770070097195,3.92121839450728,-0.5270303258302955,0.0123465980911811,4.554263565891648,10.166957819267177,2.597166666666667,2.6048388888888887,2.53823,0,0,0.0,2.5,2.6409,0.0,0.1408999999999998,-1
1972-06-26 00:00:00+00:00,1972-06-26T00:00:00.000Z,2.441,2.441,2.441,2.441,18.260038440810405,-0.0040592089888198,-0.0205359357728497,0.0164767267840299,2.5088697135866145,2.59668,2.6844902864133857,6.763273596545251,-0.3864565095887713,0.0156909589880959,0.0,4.715762273901896,2.5782777777777777,2.595705555555556,2.538684,0,0,0.0,2.441,2.6409,0.0,0.1998999999999999,0
1972-07-03 00:00:00+00:00,1972-07-03T00:00:00.000Z,2.4385,2.4385,2.4385,2.4385,18.03816900658691,-0.0139973296774971,-0.0243792451692216,0.0103819154917245,2.4768832396163947,2.58833,2.6997767603836054,8.611480018668821,-0.17220437581262,0.0147456044166534,0.0,1.518087855297216,2.559166666666667,2.586305555555556,2.539076,0,0,0.0,2.4385,2.6409,0.0,0.2023999999999999,0
1972-07-10 00:00:00+00:00,1972-07-10T00:00:00.000Z,2.4465,2.4465,2.4465,2.4465,21.33219835473447,-0.0209859162036405,-0.025094265356292,0.0041083491526514,2.453370193382816,2.580385,2.707399806617184,9.84463997559931,-0.0270448523514352,0.0142622833180145,1.5264262545315788,0.5088087515105263,2.540666666666666,2.5755055555555555,2.539626,0,0,1.0,2.4385,2.6409,0.008,0.1943999999999999,0
1972-07-17 00:00:00+00:00,1972-07-17T00:00:00.000Z,2.4505,2.4505,2.4505,2.4505,22.99856032373562,-0.0259030604482983,-0.0240091276807598,-0.0018939327675384,2.434284472295565,2.572525,2.710765527704435,10.747458446812756,0.0586496882415852,0.0135271555555134,3.816065636328947,1.780830630286842,2.5225888888888885,2.5666444444444445,2.540268,0,0,1.0,2.4385,2.6409,0.012,0.1903999999999999,-1
1972-07-24 00:00:00+00:00,1972-07-24T00:00:00.000Z,2.449,2.449,2.449,2.449,22.803490713904143,-0.0295799904354425,-0.0221488461343232,-0.0074311443011192,2.418504086812648,2.56293,2.707355913187352,11.270375171179234,0.105576321154334,0.0126657799427206,5.819500095401633,3.72066399542072,2.5044111111111107,2.557894444444445,2.540878,0,0,1.0,2.4385,2.6163,0.0104999999999999,0.1673,-1
1972-07-31 00:00:00+00:00,1972-07-31T00:00:00.000Z,2.4505,2.4505,2.4505,2.4505,23.50224157716425,-0.0320040240101513,-0.0196583037672256,-0.0123457202429257,2.4043249037376646,2.554955,2.705585096262336,11.791213251296831,0.1532731419819228,0.0118662478247163,6.582713222667422,5.406092984799334,2.4865,2.5486833333333334,2.541498,0,0,1.0,2.4385,2.6163,0.012,0.1657999999999999,-1
1972-08-07 00:00:00+00:00,1972-08-07T00:00:00.000Z,2.4522,2.4522,2.4522,2.4522,24.338122006615848,-0.0334028648563178,-0.0168457156907136,-0.0165571491656041,2.392218447949969,2.5472399999999995,2.70226155205003,12.171727206704563,0.1934619775664258,0.0111384166113261,6.907078801755389,6.4364307066081485,2.468833333333333,2.5399833333333333,2.541156,0,0,1.0,2.4385,2.6163,0.0137,0.1640999999999999,-1
