datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATR_14,STOCHk_14_3_3,STOCHd_14_3_3,ma_9,ma_18,ma_50,rsi_divergence,macd_divergence,stoch_divergence,support,resistance,dist_to_support,dist_to_resistance
1971-12-20 00:00:00+00:00,1971-12-20T00:00:00.000Z,2.5477,2.5477,2.5477,2.5477,90.24032701011122,0.024729897740452866,0.004328223412321482,0.020401674328131385,2.424373584118712,2.48454,2.5447064158812878,4.843264015172853,1.024877534043399,0.006889755625009007,100.0,99.96807151979573,2.506644444444445,2.4918222222222224,2.443862,1,1,1.0,2.4185,2.5477,0.12919999999999998,0.0
1971-12-27 00:00:00+00:00,1971-12-27T00:00:00.000Z,2.552,2.552,2.552,2.552,90.69900379462446,0.02674010705194041,0.005070746179047219,0.02166936087289319,2.4322261103681373,2.491215,2.5502038896318626,4.7357526052036985,1.015224141184438,0.0067001096063507406,100.0,100.0,2.513377777777778,2.4964166666666667,2.446958,1,1,0.0,2.4195,2.552,0.13249999999999984,0.0
1972-01-03 00:00:00+00:00,1972-01-03T00:00:00.000Z,2.5502,2.5502,2.5502,2.5502,88.81727228581362,0.027866737058924063,0.004957900948824697,0.022908836110099366,2.4431963383447077,2.49775,2.552303661655292,4.368224334324267,0.9807193358661725,0.006341922959411842,99.16434540389962,99.72144846796654,2.5196666666666667,2.5014833333333333,2.4498480000000002,1,1,0.0,2.459,2.552,0.09119999999999973,0.0018000000000002458
1972-01-10 00:00:00+00:00,1972-01-10T00:00:00.000Z,2.572,2.572,2.572,2.572,91.19884342729486,0.03017088607227114,0.005809639969737421,0.02436124610253372,2.441148778055342,2.502885,2.564621221944658,4.933204837190522,1.059760524882431,0.00746998967120484,99.16434540389962,99.44289693593309,2.528366666666667,2.5077499999999997,2.453082,1,1,0.0,2.459,2.572,0.11299999999999999,0.0
1972-01-17 00:00:00+00:00,1972-01-17T00:00:00.000Z,2.5824,2.5824,2.5824,2.5824,92.06684998194136,0.03246193289387067,0.006480549433069558,0.025981383460801113,2.4416871003741387,2.509055,2.5764228996258614,5.369981895642887,1.0443616351951988,0.007683479407725407,99.16434540389962,99.16434540389962,2.5382111111111114,2.5138833333333337,2.4563819999999996,1,1,0.0,2.4592,2.5824,0.12319999999999975,0.0
1972-01-24 00:00:00+00:00,1972-01-24T00:00:00.000Z,2.5914,2.5914,2.5914,2.5914,92.7346320106376,0.034604924758156574,0.006898833037884369,0.027706091720272205,2.4433967420993135,2.515665,2.587933257900686,5.745459582312141,1.023985233628283,0.007779267810143912,100.0,99.44289693593309,2.5490666666666666,2.5199333333333334,2.459916,1,1,1.0,2.472,2.5914,0.11940000000000017,0.0
1972-01-31 00:00:00+00:00,1972-01-31T00:00:00.000Z,2.6,2.6,2.6,2.6,93.31380552055221,0.036575588757147504,0.007095597629500235,0.02947999112764727,2.4439624193768212,2.5220650000000004,2.6001675806231797,6.193542245991217,0.99892717614551,0.007838903937315381,100.0,99.72144846796652,2.5603444444444445,2.526088888888889,2.4636,1,1,1.0,2.4802,2.6,0.11980000000000013,0.0
1972-02-07 00:00:00+00:00,1972-02-07T00:00:00.000Z,2.6055,2.6055,2.6055,2.6055,93.66179512367357,0.03814148689017882,0.006929196610025241,0.03121229028015358,2.444382279061215,2.5282150000000003,2.6120477209387856,6.631771501932014,0.9609477011752573,0.007669163637854858,100.0,100.0,2.5700444444444446,2.5330500000000002,2.46733,1,1,0.0,2.4802,2.6055,0.1253000000000002,0.0
1972-02-14 00:00:00+00:00,1972-02-14T00:00:00.000Z,2.6055,2.6055,2.6055,2.6055,93.66179512367356,0.038933669337537946,0.006177103245907492,0.032756566091630454,2.4458096599417107,2.53403,2.6222503400582893,6.962848905363336,0.9050653168689795,0.007113228621303136,100.0,100.0,2.5785222222222224,2.539527777777778,2.47112,1,1,0.0,2.4802,2.6055,0.1253000000000002,0.0
1972-02-21 00:00:00+00:00,1972-02-21T00:00:00.000Z,2.6054,2.6054,2.6054,2.6054,93.55911649652963,0.03910265935370161,0.005076874609656917,0.03402578474404469,2.4504830982607673,2.54029,2.630096901739233,7.070602312274023,0.8624999790609408,0.006605380975126628,99.97018485390572,99.99006161796858,2.5849333333333333,2.545788888888889,2.474862,1,1,0.0,2.4889,2.6055,0.11649999999999983,0.00010000000000021103
