datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATR_14,STOCHk_14_3_3,STOCHd_14_3_3,ma_9,ma_18,ma_50,rsi_divergence,macd_divergence,stoch_divergence,pp,r1,s1,r2,s2,dist_to_pp,dist_to_r1,dist_to_s1,dist_to_r2,dist_to_s2,label
1976-05-03 00:00:00+00:00,1976-05-03T00:00:00.000Z,1.1798,1.1874,1.1756,1.1874,29.23752383040211,-0.0197755919856195,0.0001641257423292,-0.0199397177279487,1.163395783317573,1.207375,1.2513542166824272,7.285096458420474,0.2729040953112116,0.0074761622048858,10.511218570549504,7.482639610404312,1.1854111111111112,1.2039722222222222,1.249452,1,1,1.0,1.1801666666666666,1.1805333333333332,1.1794333333333331,1.181266666666667,1.1790666666666665,0.0072333333333334,0.0068666666666667,0.0079666666666669,0.0061333333333333,0.0083333333333335,-1
1976-05-10 00:00:00+00:00,1976-05-10T00:00:00.000Z,1.1908,1.1908,1.1815,1.1815,26.7914707818074,-0.019237288707971,0.0005619432159822,-0.0197992319239532,1.161824221049253,1.20443,1.2470357789507465,7.074845188304273,0.2309050489781258,0.0076071155430816,13.006401551367178,9.88740301094362,1.1838777777777778,1.200683333333333,1.245666,1,1,1.0,1.1834666666666669,1.1913333333333334,1.179533333333333,1.1952666666666667,1.1716666666666666,0.0019666666666666,0.0098333333333333,0.0019666666666666,0.0137666666666667,0.0098333333333333,-1
1976-05-17 00:00:00+00:00,1976-05-17T00:00:00.000Z,1.1737,1.1781,1.1737,1.1744,24.17082797525881,-0.0191626945308049,0.0005092299145185,-0.0196719244453235,1.1593718524218046,1.20137,1.2433681475781957,6.99170906185362,0.1789144098583742,0.0076209596801596,11.971146851729053,11.829588991215248,1.1825,1.197111111111111,1.241692,0,1,1.0,1.1846,1.1876999999999998,1.1783999999999997,1.1939,1.1752999999999998,0.0101999999999997,0.0132999999999996,0.0039999999999995,0.0194999999999998,0.0008999999999996,-1
1976-05-24 00:00:00+00:00,1976-05-24T00:00:00.000Z,1.1769,1.1769,1.1719,1.1719,23.3063539361533,-0.019085303713586,0.00046929658539,-0.019554600298976,1.1581702666004927,1.19793,1.2376897333995072,6.638072909019263,0.1726587708920275,0.0074329072724659,4.5357341233106245,9.837760842135625,1.180911111111111,1.1941499999999998,1.237616,0,1,0.0,1.1754,1.1771,1.1727,1.1798,1.171,0.0035,0.0052,0.0008000000000001,0.0079,0.0008999999999999,-1
1976-05-31 00:00:00+00:00,1976-05-31T00:00:00.000Z,1.1695,1.1727,1.1695,1.1712,23.05768652479837,-0.0188630139996557,0.0005532690394562,-0.019416283039112,1.1578707540625424,1.194555,1.2312392459374577,6.141909905773726,0.1816753431456987,0.0071292959378753,2.0137236236714067,6.173534866237033,1.1791666666666667,1.1912833333333337,1.233544,0,1,0.0,1.1735666666666666,1.1752333333333334,1.1702333333333332,1.1785666666666668,1.1685666666666663,0.0023666666666666,0.0040333333333333,0.0009666666666667,0.0073666666666667,0.0026333333333334,-1
1976-06-07 00:00:00+00:00,1976-06-07T00:00:00.000Z,1.1736,1.175,1.1721,1.1729,25.14646515029973,-0.0183382797337599,0.0008624026442816,-0.0192006823780415,1.1569493498202752,1.19194,1.2269306501797248,5.871209990389584,0.2279273191237726,0.0068905685274291,4.816753926701666,3.788737224561237,1.1780555555555556,1.1883222222222225,1.229676,1,1,1.0,1.1711333333333334,1.1727666666666667,1.1695666666666666,1.1743333333333337,1.1679333333333333,0.0017666666666666,0.0001333333333333,0.0033333333333334,0.0014333333333333,0.0049666666666667,-1
1976-06-14 00:00:00+00:00,1976-06-14T00:00:00.000Z,1.1733,1.1736,1.1722,1.1722,24.84734820127821,-0.0177740203546816,0.0011413296186879,-0.0189153499733696,1.1564523362478487,1.18941,1.2223676637521514,5.541850791930682,0.2389074642938433,0.0064969757360427,8.696064271529126,5.175513940634072,1.1768333333333334,1.185661111111111,1.22627,1,1,1.0,1.1733333333333336,1.1745666666666672,1.171666666666667,1.1762333333333337,1.1704333333333334,0.0011333333333336,0.0023666666666672,0.0005333333333328,0.0040333333333337,0.0017666666666664,-1
1976-06-21 00:00:00+00:00,1976-06-21T00:00:00.000Z,1.171,1.1755,1.171,1.1733,26.330317648026785,-0.0170416345693107,0.0014989723232471,-0.0185406068925578,1.157792097142332,1.186765,1.2157379028576685,4.882668912155006,0.2676277025787163,0.0063538587615428,12.672413793103397,8.728410663778067,1.1760666666666666,1.183388888888889,1.22325,1,1,1.0,1.1726666666666663,1.1731333333333331,1.171733333333333,1.1740666666666666,1.1712666666666665,0.0006333333333334,0.0001666666666668,0.0015666666666669,0.0007666666666665,0.0020333333333335,-1
1976-06-28 00:00:00+00:00,1976-06-28T00:00:00.000Z,1.1736,1.1758,1.1736,1.1752,28.93867328235445,-0.0161220544289852,0.001934841970858,-0.0180568963998433,1.159544524028562,1.1845199999999998,1.2094954759714376,4.21697834927866,0.3134169692970372,0.0060777306141481,17.52873563218381,12.965737898938784,1.1755555555555557,1.1813055555555556,1.220818,1,1,1.0,1.173266666666667,1.175533333333333,1.1710333333333334,1.1777666666666666,1.1687666666666667,0.0019333333333333,0.0003333333333332,0.0041666666666666,0.0025666666666666,0.0064333333333332,-1
1976-07-05 00:00:00+00:00,1976-07-05T00:00:00.000Z,1.1756,1.1756,1.1733,1.1733,27.8757798659922,-0.0153694254936422,0.0021499767249608,-0.0175194022186031,1.1611198249831598,1.182475,1.20383017501684,3.6119452871037687,0.2851808755309951,0.005807116895188,19.59621714964118,16.599122191642802,1.1739888888888887,1.1797,1.218652,1,1,1.0,1.1748666666666667,1.1761333333333337,1.1739333333333335,1.1770666666666667,1.1726666666666667,0.0015666666666667,0.0028333333333334,0.0006333333333334,0.0037666666666666,0.0006333333333332,-1
