datetime,time,open,high,low,close,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,STOCHk_14_3_3,STOCHd_14_3_3,ma_9,ma_18,ma_50,rsi_divergence,macd_divergence,trend_status,is_trending,pp,r1,s1,r2,s2,dist_to_pp,dist_to_r1,dist_to_s1,dist_to_r2,dist_to_s2,label
2024-11-29 20:00:00+00:00,2024-11-29T20:00:00.000Z,150.16,150.535,150.16,150.42,47.06969078042219,-0.3067843286754339,0.0620508176830156,-0.3688351463584496,149.31250887985826,150.310750875,151.30899287014174,1.3282376534355662,0.5547207618652022,0.3325254500226843,67.3169374278253,48.24944491460519,150.11333255555553,150.17333430555558,150.98510125,1,1,-1,1,150.155,150.39,149.955,150.59,149.72,0.2649999999999863,0.0299999999999727,0.464999999999975,0.1700000000000159,0.6999999999999886,-1
2024-11-29 21:00:00+00:00,2024-11-29T21:00:00.000Z,150.435,150.45,149.58501,149.60001,32.72717015939531,-0.3325150048129899,0.0290561132363677,-0.3615711180493576,149.3458729625523,150.21325137499997,151.0806297874476,1.154862709525231,0.1464972114826556,0.3707569256929615,56.98176414711242,56.90593146923576,150.0477781111111,150.08472319444442,150.95490145,1,1,-1,1,150.37166666666667,150.58333333333334,150.20833333333334,150.74666666666667,149.99666666666667,0.7716566666666722,0.9833233333333452,0.6083233333333453,1.1466566666666722,0.3966566666666722,1
2024-11-29 22:00:00+00:00,2024-11-29T22:00:00.000Z,149.605,149.72501,149.47,149.64,33.78680496215062,-0.3456949362049215,0.0127009454755489,-0.3583958816804705,149.4644972754487,150.118001375,150.7715054745513,0.8706538770374681,0.1342782123874822,0.3624492770039512,36.81228956908079,53.70366371467284,149.99000033333334,150.0322226388889,150.93350124999998,1,1,-1,1,149.87834,150.17167,149.30668000000003,150.74333,149.01335000000003,0.2383400000000222,0.5316700000000196,0.3333199999999578,1.1033299999999997,0.6266499999999553,1
2024-11-29 23:00:00+00:00,2024-11-29T23:00:00.000Z,149.64999,149.745,149.485,149.61,33.36225727600714,-0.3544747122390106,0.0031369355531679,-0.3576116477921785,149.5680401306304,150.03875087499998,150.50946161936955,0.627452230339783,0.0445707580201972,0.3550985980320787,11.713360466852018,35.16913806101508,149.95055588888889,150.0136109722222,150.91010125,1,1,-1,1,149.61167,149.75334,149.49833,149.86668,149.35666,0.00166999999999,0.1433399999999949,0.1116700000000037,0.2566799999999887,0.2533400000000085,1
2024-11-30 00:00:00+00:00,2024-11-30T00:00:00.000Z,149.61,149.67,149.53999,149.64,34.251963895523794,-0.3549206938926375,0.0021527631196328,-0.3570734570122703,149.56166457891328,149.99150037500002,150.42133617108675,0.5731468716721742,0.0911224958459474,0.3389537960672,15.023474178403466,21.18304140477876,149.90611222222222,149.98444486111111,150.88580125,1,1,-1,1,149.61333333333334,149.74166666666667,149.48166666666668,149.8733333333333,149.35333333333335,0.0266666666666424,0.1016666666666878,0.158333333333303,0.2333333333333485,0.2866666666666333,1
2024-11-30 01:00:00+00:00,2024-11-30T01:00:00.000Z,149.64999,149.765,149.61,149.765,37.968289381358936,-0.3412539194743544,0.0126556300303327,-0.3539095495046871,149.54174712279303,149.982499875,150.42325262720698,0.5877389063048188,0.2532631686235295,0.325763375570995,18.93583724569612,15.224223963650536,149.86389,149.96583319444443,150.86050127,1,1,-1,1,149.61666333333332,149.69333666666665,149.56332666666663,149.74667333333332,149.48665333333332,0.1483366666666654,0.0716633333333334,0.201673333333332,0.0183266666666668,0.2783466666666641,1
2024-12-02 02:00:00+00:00,2024-12-02T02:00:00.000Z,149.66,149.75,149.5,149.61501,35.38381301274267,-0.3386224133691371,0.01222970890844,-0.3508521222775771,149.4950145262079,149.955000875,150.41498722379208,0.6134991778974049,0.130433733639278,0.3214075376490059,19.092644757433167,17.683985393844253,149.82444666666666,149.9438896111111,150.83100155,1,1,-1,1,149.71333333333334,149.81666666666666,149.6616666666667,149.8683333333333,149.55833333333337,0.0983233333333259,0.2016566666666506,0.0466566666666778,0.2533233333332987,0.0566766666666467,1
2024-12-02 03:00:00+00:00,2024-12-02T03:00:00.000Z,149.60001,150.070007,149.55,149.855,42.16712568436355,-0.3135572457554474,0.0298359012177038,-0.3433931469731512,149.48582407043045,149.942750375,150.39967667956955,0.6094676847354039,0.4039775406641571,0.3356405369168347,25.82190923317664,21.28346374543531,149.81500222222223,149.93000072222222,150.80600155,1,1,-1,1,149.62167,149.74334,149.49334,149.87167,149.37167,0.2333299999999951,0.1116600000000005,0.3616600000000005,0.0166700000000048,0.4833299999999951,1
2024-12-02 04:00:00+00:00,2024-12-02T04:00:00.000Z,149.88,150.285,149.81,150.2,50.252216103275465,-0.2628246244540548,0.0644548180152771,-0.327279442469332,149.48240839311967,149.95225065,150.42209290688032,0.6266558252292916,0.7636516260212589,0.3456256123293192,39.43693270735515,28.117162232654987,149.8161133333333,149.94111183333334,150.79020135,1,1,-1,1,149.82500233333334,150.10000466666668,149.57999766666669,150.34500933333334,149.30499533333335,0.3749976666666441,0.099995333333311,0.6200023333333036,0.1450093333333484,0.8950046666666367,1
2024-12-02 05:00:00+00:00,2024-12-02T05:00:00.000Z,150.2,150.56,150.155,150.53,56.514516986848754,-0.1937569054919663,0.1068180295818925,-0.3005749350738588,149.44337058496845,149.97350065,150.50363071503156,0.706964980791834,1.0248705805497649,0.3498788335088204,67.31418070092262,44.191007547151465,149.82833555555555,149.97083405555557,150.77390135,1,1,-1,1,150.09833333333333,150.38666666666666,149.91166666666666,150.57333333333332,149.6233333333333,0.4316666666666719,0.143333333333345,0.6183333333333394,0.0433333333333223,0.9066666666666664,-1
